,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,HD현대,0.0094686440500186,0.0803088343070685,0.0151126153718092
1,롯데리츠,HD현대,0.0921994322085277,0.1625146477621296,1.1623291267806026e-24
2,코람코라이프인프라리츠,HD현대,0.0311758440499594,0.0917335278406222,1.3505835087925174e-07
3,삼성FN리츠,HD현대,0.0033503214232568,0.0193209563430806,0.3780897271201446
4,삼성FN리츠.1,HD현대,0.0033503214232568,0.0193209563430806,0.3780897271201446
5,한화리츠,HD현대,0.0045915992853206,0.0415275868635269,0.2887941059133294
6,코람코더원리츠,HD현대,0.037923158612889,0.1389960353518758,1.2540071171338718e-05
