,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠,스타리츠,디앤디플랫폼리츠,미래에셋글로벌치ㅡ,NH올원리츠,ESR켄달스퀘어리츠,제이알글로벌리츠,이지스레지던스리츠,이지스벨류리츠,NH프라임리츠,신한알파리츠,이리츠코크렙,케이탑리츠
2022-04-05,1.5719617161547108,1.832773198346601,1.3176398238190998,2.141817547514622,1.656737653882621,2.048085749753513,1.38254794916216,1.4740818518259782,1.0295612625385673,1.1738869913762608,1.2464275357183607,1.5175370213177304,1.5642323201707993,0.579435535826704,1.894019269480986,0.801992964379406,1.8302753225484383,1.3061009044723761,1.0687323203451542,1.0286671537011036,0.6488463267439938,0.9016142478989398,1.1582062520891279,2.946274363426478
2022-04-06,1.549336077892724,1.780323621859002,1.3220392238627958,2.1816994665252696,1.9689670979615579,2.03839943090557,1.3306428821632805,1.3129479779319668,1.0311339530861336,1.1738869913750745,1.2091292148615178,2.500078417501907,1.6715149166592258,0.559820471145602,1.694810023424917,0.7378043814737739,1.8150529382174638,1.2724856285916364,1.0259665945403336,0.9739292752913086,0.6536610773407139,1.0285415267559759,1.1423548617899069,2.120601714177939
2022-04-07,1.5335223757514964,1.7472301368722962,1.3228856392761712,2.1900327653510403,1.5505630635577659,2.0308968505217377,1.4301928904754975,1.390950891548697,1.028758228559909,1.1318071118350381,1.3132560099856696,1.900837406830244,1.7928338882014592,0.6286248752249884,1.554329552141805,0.6896958349748032,1.870688351109528,1.239435858255591,0.9893777417869204,1.0112499079694686,0.6595296063778066,1.275326218017498,1.1432709874311517,2.244875450253539
2022-04-08,1.5364760358286647,1.7755497032662013,1.3298961792126738,2.132983805999117,1.7998963557730867,2.1480465902980965,1.3890552333959811,1.333895250470901,1.0744425508281619,1.0263722272716103,1.2384613525838486,1.823035323800478,1.6000235686881026,0.697759974372819,1.413337944407965,0.7579400060673691,1.889362350347335,1.2159765631705732,0.971650735108976,0.9641085516842034,0.6636687710664921,0.8938043573033715,1.0495245096663635,2.837166885188932
2022-04-11,1.5335515108880855,1.7476410380533525,1.3233579597075862,2.081494722503413,1.6635132408216082,2.0279084407112014,1.328148444472417,1.3834987531036933,0.9629924404840088,1.1726818968807502,1.4362805691965497,1.4128741754089509,1.3675136126901402,0.5789334554256348,1.6545744243876832,0.7192007697849189,1.8768510436435974,1.2052352388288328,1.0978102281352868,1.0592839361383457,0.6705413089994453,0.9591608857732967,1.0966322713690788,2.858956914662369
2022-04-12,1.5168591005320657,1.7271027805937726,1.3421785885708386,2.056862979101055,1.6672898380303613,1.964031923210889,1.4183439787583627,1.4253998430198844,1.1565449934519083,1.342607541754039,1.3512288222177633,1.263410551247814,1.391253860555831,0.6093359429561621,1.5889699183868724,0.6996718413606148,1.8192260711393562,1.1747150011027991,1.0567722874537664,1.0065578793298897,0.6742819294186276,1.0704190935061135,1.0091772742403204,2.0053263831630104
2022-04-13,1.569691795784828,1.7538678796055014,1.3327311736313103,2.009949976717729,1.5992578362849055,2.1887841017041465,1.4818281395310355,1.336605393236546,0.994032029723141,0.9723975293429968,1.3370673841027398,1.1105997856648726,1.4572017852869648,0.6538635711616712,1.7117178187436755,0.7203347842327439,1.7634811678730187,1.1734832054171014,1.0330751914035807,1.109335041680348,0.6781579830674801,0.8204096438704256,1.0126754617476934,2.391143085608264
2022-04-14,1.6203885553349398,1.725042720089388,1.5416081108500452,1.9634044736135294,1.5675186925287303,2.055696851119381,1.342614944041184,1.2044829588380739,0.9326837991984354,0.9886674055039761,1.2777202487306583,0.9620370080392919,1.4169904851354773,0.6232063691336264,1.6462473800279886,1.0663453641051241,1.7188202543533366,1.1441686900544568,1.0206886318719421,0.9942633749530813,0.6828208843922207,0.9352257016449657,0.9353134143232478,4.045429029086822
2022-04-15,1.5956283760478258,1.684810725863604,1.5245812945321435,1.923133224139882,1.5233157779180095,1.9326564139773275,1.4179886474127619,1.2453669844922401,1.046336565426787,1.1448963201130091,1.2155331551211772,0.8772907196069517,1.5349859653597873,0.5986903183995953,1.5985937365759446,0.7785111692746294,1.7169514091288935,1.1203265640702937,1.1280325702902967,1.057714016254057,0.6861255331593149,1.0500639245786603,0.8847619231548206,3.468618503854739
2022-04-18,1.5739103272463535,1.644412415356198,1.5232151084238101,1.8931336824031049,1.494550081281412,2.1458214501526345,1.511375269654432,1.663629192857635,0.979218704780911,0.9006990443927746,1.2762021304908984,1.0152566295754633,1.830866230727844,0.7769759072938655,2.200054185786185,0.9046831932083058,1.8081485966883442,1.3412404863864555,1.2783640233353442,1.008361797244203,0.714571300833587,0.7929451871653613,0.8423034559581065,2.1197961291368874
2022-04-19,1.5539833188271026,1.691693547030597,1.5052464613748135,1.8536981212454269,1.4667336764106589,1.99414076653551,1.3703150197453902,1.5095072470783397,1.3369067719678225,1.0069752073379774,1.2247470343490987,0.8113506104442656,1.816679171961486,0.6926940745689839,1.9553052568913745,1.3259075711642547,1.9092708096905384,1.5751265139212796,1.2278755082198578,1.0243051082567898,0.7193145128662409,0.9018853181600213,1.0695904201124657,2.7855664553364505
