,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,삼성생명,0.0044981033623054,0.0543768402612653,0.0944190064149913
1,롯데리츠,삼성생명,0.0313694775010089,0.0927578376140983,3.9891583937521165e-09
2,코람코라이프인프라리츠,삼성생명,0.0172776002069015,0.0725220765771488,9.202722152596288e-05
3,삼성FN리츠,삼성생명,0.00359586444445,0.0179313028847717,0.3611341573172245
4,삼성FN리츠.1,삼성생명,0.00359586444445,0.0179313028847717,0.3611341573172245
5,한화리츠,삼성생명,0.0001197042793927,-0.0060310390866456,0.8641582337472313
6,코람코더원리츠,삼성생명,0.0013443553112825,0.0255098708904094,0.4151913429588622
