Date,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디
2022-04-04,2.4844713714935684,1.435901981108545,1.2962900836704705,0.48542668264368594,0.20661217130275578,2.2821523943501676,0.9966758757405048
2022-04-05,0.0,-0.2022226430535623,0.9140806150645941,2.8985544583534084,-2.886596953385645,1.419884603211674,0.0
2022-04-06,0.4040425160574568,-1.013170675882591,-0.5434756688886266,-2.3474207789823343,0.7430874726144454,2.99999952344272,-1.973673691046296
2022-04-07,-1.0060381388811712,-2.149435002746225,-0.7285939560610188,0.0,-1.580592005291459,-2.1359250851961775,-0.8389315307091083
2022-04-08,0.81301237855127,-1.150626070193106,0.5504478693151293,0.48076984708604886,-0.7494813706791836,0.1984158252320789,0.169204415199542
2022-04-11,0.2016106255405159,1.1640195829769828,1.2773825151535467,-1.4353978981533122,1.4023823380434175,-2.5742585936606055,0.0
2022-04-12,-1.8108646707196807,-2.0920579149404372,-0.18018735078687564,0.48542668264368594,-0.21277623802179457,-2.4390304932892515,-2.0270302176602195
2022-04-13,1.8442617552816731,0.9615479854836018,3.4295946448032577,0.0,0.6396704533107034,1.458339831528721,0.6896682700656687
2022-04-14,0.4024165819746184,-0.5291047198200283,1.0471233135717295,-0.4830816752928513,-0.21186501839781657,-1.8480539028361331,0.513690457988969
2022-04-15,0.40079707597011627,0.10638201612787057,1.381693784616722,0.9708641518278993,-0.4246393217651301,1.04602500031572,1.1925090783369674
2022-04-18,-0.3991971056433452,2.1254064175536103,-0.6814277935791591,0.0,-0.4264211439498733,-1.8633505645469173,-1.178455884925056
2022-04-19,0.6012022194841649,-0.6243527947759842,1.3722061814640307,0.48076984708604886,1.9271808448041217,0.0,0.511072273001778
2022-04-20,2.3904375145438195,1.7801063534079953,0.0,-0.9569390199093641,0.31512221159781806,0.21096540887828308,-0.5084736053890926
2022-04-21,3.1128373977838075,1.1316856943545561,-0.5076118370432647,0.9661848194511435,0.6282741337795494,-0.6315722060406426,-0.3407077406683334
2022-04-22,0.0,-0.5086510304020742,-0.1700672270565584,-1.4353978981533122,1.4568296071787223,-1.4830573538871072,0.0
2022-04-25,-2.2641441140456076,-4.8057259891550625,-0.5110632436963303,-0.4854374691842023,-2.6666835611967588,-2.3655860715450894,-1.196593071555585
2022-04-26,1.158294401964155,1.1815236912273486,0.3424564644168404,9.268282055264754,-0.42148801071308917,-0.8810623938396045,0.17301727458522986
2022-04-27,-0.19084383622341994,-2.760078062740934,-0.6825906341535348,-2.2321358158804094,-2.116398708757339,-1.7777705607782246,-1.3816970912853832
2022-04-28,2.8680681708749045,2.1833955305301744,1.374571579629147,-0.9132532672934568,2.9189126444477687,0.6787257340118646,0.35026933874395816
2022-04-29,-0.3717369172346108,0.9615479854836018,-1.1864425879026586,-0.9216397335409909,-1.2604983883204524,2.247190810690025,-0.17452700836037005
2022-05-02,0.3731239567288158,0.0,-0.34305154536600213,0.465096137816956,-0.8510662971252358,0.0,-0.17482484326161174
2022-05-03,-2.973974984847161,-0.21164728824155654,0.3442324400713126,-2.3148179104895195,-0.7510702841706296,-2.1978020059745917,-0.17513101578546797
2022-05-04,-0.19156241353107673,-0.8483576774173551,0.34305154536600213,-0.9478580652920177,2.270262116642785,-3.595499942527547,-0.5263147877904828
2022-05-06,-0.7677582772970482,0.10695090846868371,0.3418787251162181,-1.4353978981533122,-0.4228246371954736,-0.4662078028570993,-0.3527256524703426
2022-05-10,-4.642164963130513,-0.641019874233173,0.6814277935791591,-2.4271873459210114,-2.441615830006183,-2.8103023804521454,-2.123904340044469
2022-05-11,-1.0142006951619265,4.08602109234506,-1.8612434024919522,0.49751304280343245,-3.155618061158183,0.7228934109732688,4.5207946776828045
2022-05-12,-0.6147539184272244,0.8264475880993105,-0.5172466054008673,-3.168325065448052,0.3370847871428939,-5.502393617324497,-0.8650430608580728
2022-05-13,1.0309230006382952,3.9959002821453593,2.2530377672372204,0.715751892216665,2.7995553865135525,3.0379723673175096,3.490394533856045
2022-05-16,0.20408606688633313,0.4926063792211943,1.355933305769308,-2.944163833581648,1.1982556900892227,1.7199093916624886,-0.33726748743954094
2022-05-17,1.8329866436414433,-0.9803916663498002,1.839463560307597,-0.5230248302275697,-0.4305620118617015,-1.4492789768982939,-1.6920441519955087
2022-05-18,-0.7999910344468453,0.0,0.8210141523189218,-2.4185054958971386,-0.10811333152571656,-1.9607860314204695,-0.6884740048261895
2022-05-19,-0.4032278965628078,-3.96039403850732,-1.6286568018023306,-2.370679721398905,-1.9480478624089415,-1.2499998758965347,-0.8665494973058352
2022-05-20,0.6072872738035917,-0.7216517354321272,-0.6622558631012354,3.090512856090788,3.6423796571613654,1.2658226575449127,1.5734308837528133
2022-05-23,-1.0060381388811712,1.3499535819039732,-2.333337101306321,-0.5353385029173596,0.9584741187222523,0.25000394649015156,1.7211670585558725
2022-05-24,-5.284553662541914,-0.6147572413475744,-1.1945412242284847,-2.368139616999232,0.5274324676016517,-0.9975120382212377,-0.3384158902904222
2022-05-25,1.502150248693801,0.41236740964643026,0.5181399858045888,0.44101858038896324,0.4197092937413105,0.0,0.8489090388620113
2022-05-26,-0.21141410376949166,-0.92401632950182,0.5154614673136937,0.4390760487692269,0.7314593886742271,0.0,-0.6734063732006912
2022-05-27,0.8474550231436506,1.6580248497920946,1.3675225279407899,1.6393463523505458,1.76349534020539,4.785899825532414,0.6779718790426603
2022-05-30,2.1008373974996664,1.9368077310002452,1.011814637195818,1.0752641927974427,0.9174198939413625,1.6826901735166766,0.5050424874894821
