,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,한화생명,0.0246653442946708,0.0894962875982688,8.26455226087707e-05
1,롯데리츠,한화생명,0.050781512524792,0.0848354254564606,5.2751704713417415e-14
2,코람코라이프인프라리츠,한화생명,0.0257605134373363,0.0558474374979115,1.705508703562151e-06
3,삼성FN리츠,한화생명,0.0096718580688074,0.0246480268580584,0.1336193701978424
4,삼성FN리츠.1,한화생명,0.0096718580688074,0.0246480268580584,0.1336193701978424
5,한화리츠,한화생명,0.0001070893170044,-0.0047439762273464,0.8714498344388385
6,코람코더원리츠,한화생명,0.0262391820676589,0.0785022106406649,0.0002918498510387
