,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,삼성화재,0.0080232007684186,0.0664877691842225,0.0253696008044109
1,롯데리츠,삼성화재,0.0157874012949603,0.0732024291647931,3.208935264193039e-05
2,코람코라이프인프라리츠,삼성화재,0.0056683854366896,0.0404029913855601,0.0255213153898723
3,삼성FN리츠,삼성화재,0.005266797365718,0.0198744448102581,0.2688725945611374
4,삼성FN리츠.1,삼성화재,0.005266797365718,0.0198744448102581,0.2688725945611374
5,한화리츠,삼성화재,6.125887300079125e-05,0.0039665040941302,0.902593481783896
6,코람코더원리츠,삼성화재,0.0030975870209274,0.0361280532147471,0.2159574970913039
