,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,롯데쇼핑,0.0070127880256778,0.0628602540031128,0.0366464363701577
1,롯데리츠,롯데쇼핑,0.0681038824108588,0.1348605720250551,2.056275883716951e-18
2,코람코라이프인프라리츠,롯데쇼핑,0.0222308636322131,0.0724451417621878,8.929710890719957e-06
3,삼성FN리츠,롯데쇼핑,0.0016649758486697,0.0136373562952783,0.5345343871029399
4,삼성FN리츠.1,롯데쇼핑,0.0016649758486697,0.0136373562952783,0.5345343871029399
5,한화리츠,롯데쇼핑,1.0213173076145663e-05,0.0019606188339667,0.9601451954633224
6,코람코더원리츠,롯데쇼핑,0.0195968342894622,0.0919678002510508,0.0017766474664803
