Date,SK리츠,롯데리츠,코람코라이프인프라리츠,코람코더원리츠,디앤디플랫폼리츠,ESR켄달스퀘어리츠,제이알글로벌리츠,신한알파리츠,이지스밸류리츠,NH올원리츠,미래에셋글로벌리츠,이지스레지던스리츠,NH프라임리츠,미래에셋맵스리츠
2022-04-01,,,,,,,,,,,,,,
2022-04-04,0.621127445561287,-0.5172388186733823,0.7763992310581891,2.426348255722943,0.0,1.4577201577382404,1.0849708808667424,-0.5263124670905062,0.0,0.18657554724690328,1.8835570804206725,1.0948940450201672,0.3008991644993575,0.0
2022-04-05,-0.15433209226474176,-1.0398561771533643,0.9245045787128259,3.7224973504921266,-0.37384303315920464,-1.5804591527801337,-0.17889300181030965,2.248675743531159,0.0,-0.3724357030799097,0.0,0.0,0.1999860266695297,-0.4980069615500127
2022-04-06,-1.0819066214717177,-1.2259229453018494,0.9160275567817289,1.9575821563640794,-0.7504606725254659,-2.627739858176281,0.1792136024033164,0.776202422851302,0.5110926248902858,0.0,0.6722821133996248,-0.36100230773666864,-0.39919696532342286,0.10010690132891131
2022-04-07,0.6249916702725233,0.35460815847441207,1.966714837723993,-1.1200067806118152,0.9451767844172565,2.248879259225922,0.7155720072412608,-0.6418568111340561,0.338963547955351,0.37382797191540806,0.0,0.7246302225325962,0.0,0.20000191266627
2022-04-08,1.086964199875462,1.4134400409899772,0.890204867476907,0.16181202605074496,0.18727156743356677,1.759535244744126,1.0657104847373144,0.2583998658306941,1.1824418572100148,0.1862178515399604,2.5041719348739333,2.158270607070434,0.6012186985142387,0.19959106412137384
2022-04-11,1.6897074704369075,0.5226357990659736,0.0,0.0,0.18691120366833847,0.28817850501474673,0.17574901292376488,0.0,1.0016691623964569,0.1858615046125056,1.3029373147706913,-0.3521138058092288,0.0,0.5976037074058027
2022-04-12,1.0574006189444374,-0.3466187257177844,1.4705914991906877,-0.4846430305699534,0.3731455822599594,0.0,1.2280741519661076,0.6443311514768624,1.3223136748838016,-0.18551670048168045,2.2507892697864573,0.7067255265259975,0.1991892558452335,-0.39603189825223595
2022-04-13,0.0,0.8695608751191575,0.4347851220340315,0.1623285089288551,0.5576170626124144,0.718391970674559,0.17330181123045296,1.1523667509971025,0.48939627422299736,1.3011122970407296,-1.4150935311560753,0.8771815990939347,0.39760967344306675,0.19880907002476356
2022-04-14,0.44843727794032784,0.0,-0.43290292452533574,0.32414856345945875,-0.18484844467243633,1.711844567050802,0.5190373221802158,0.3797531618408456,0.16232834019225262,0.36697886388195045,-1.4353962081038119,2.0869539116135094,0.0,-0.19841460379614873
2022-04-15,2.3809459337561734,2.0689743153273765,1.4492707205677968,1.1308719692606495,1.1111139492837818,2.945295289922889,3.6144590832715817,0.7566190783218962,0.8103818832931875,0.9140675018695088,4.045307934915154,2.555369987024414,1.7821805198155127,0.39760654700793374
2022-04-18,-1.8895386679130488,-1.1824451314753404,-0.7142796091813564,-0.15975284023224123,-0.7326025833593319,-3.1335034943877793,-3.9867180268387314,-0.3754686715588096,-0.32154331973495154,-1.6304383015733115,-0.31104805469232,0.33221807473962084,0.5836620977209162,0.396054992511119
2022-04-19,0.5926015785523209,0.6837762055847962,0.0,-1.1200067806118152,-0.3690046291253579,0.9845163002874413,0.17302288581493297,-0.6281418958354879,-1.4516125018353532,0.18417034283308986,-1.404055277909677,-0.16555902037974635,-0.5802752510182585,0.19722904010139874
2022-04-20,0.2945468755050973,0.16976905258949682,2.0143897613383643,0.4854449150276885,0.18519076692478098,1.5320405590599773,0.518130392933891,0.7585321622558538,0.0,0.36764334269592247,0.0,0.6633520693151596,0.19456157152826226,0.3936931046484293
2022-04-21,1.0278989819959117,0.3389907283635196,0.8462520046541799,1.6103207142355247,0.0,-1.2345652752574043,-0.17182333772538527,0.3764178024503906,1.800326827094767,0.18315840951590445,1.1075974232302555,0.0,0.5825174342145356,0.0
2022-04-22,0.43604484177806047,1.1824358041386152,1.678331504848174,1.7432526851777652,0.0,0.4166580777872575,-0.17211907847087815,0.2499949508850463,0.0,0.3656169483173377,1.2519521918995968,0.16474959201142614,0.19304794016365978,0.0
2022-04-25,1.3024552364591102,0.1669348434196527,0.4126571217310415,2.6479788541422966,0.0,0.2766271540094456,0.3448316780482852,0.4987499450795463,-1.2861824664167854,0.0,2.782069361350592,0.0,-0.19267598314700596,0.0
2022-04-26,1.2857256933847205,-0.16665663542625442,0.0,0.7587239581498872,0.0,0.5517280783378986,1.3745763285033075,-1.4888311664143727,0.8143227887898341,0.7286101840365156,2.857144158099545,0.0,-0.5791438204910015,0.0
2022-04-27,1.4104424617786382,-0.1669440617554807,-0.5479508089899943,0.0,0.18483824613755306,-1.2345652752574043,-0.33898703984438505,0.12594899284559258,0.1615693376275651,-0.5424999204530989,-0.29240338209054473,0.16446979824591423,-1.1650574413746728,-0.3921492401300908
2022-04-28,-3.1988879595170716,-1.839464774855759,-2.4793383521078294,-2.861448830228275,-0.3690046291253579,-0.9722252561049971,-0.510210105901554,-0.6289389318213767,-0.8064606070225411,-0.36364268939027555,-3.2258075973803146,-0.6568165599520892,-0.39292273166716685,0.3936931046484293
2022-04-29,3.160909867519335,1.1925076082081265,1.6949174478493312,1.8604702752168079,0.18519076692478098,2.805037955228573,0.5128265990355763,0.8860790772230009,1.3008127663856728,0.36496987566159156,1.515153739560593,-0.4958649422980743,0.3944727045937402,0.0
