,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,SK㈜,0.0329078738415434,0.1314896945262277,5.1979559696425015e-06
1,롯데리츠,SK㈜,0.064657774208389,0.1173918397158292,1.567886711451059e-17
2,코람코라이프인프라리츠,SK㈜,0.024071478282063,0.0719041242167844,3.764576081667894e-06
3,삼성FN리츠,SK㈜,0.0077682457756285,0.0255992576068455,0.1790637943564128
4,삼성FN리츠.1,SK㈜,0.0077682457756285,0.0255992576068455,0.1790637943564128
5,한화리츠,SK㈜,7.922323357023586e-05,0.0046878799894093,0.8893084338566262
6,코람코더원리츠,SK㈜,0.0525079035230514,0.1438740405242471,2.4793750921221066e-07
