,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,한화금융지주,0.0302514700521161,0.1237024704770504,1.2661466661542164e-05
1,롯데리츠,한화금융지주,0.0713159152990314,0.1359529536944324,3.0785415790758464e-19
2,코람코라이프인프라리츠,한화금융지주,0.0346399697778366,0.0895969840869245,2.667364018496333e-08
3,삼성FN리츠,한화금융지주,0.0126675698567803,0.0352489970728921,0.0858091159275109
4,삼성FN리츠.1,한화금융지주,0.0126675698567803,0.0352489970728921,0.0858091159275109
5,한화리츠,한화금융지주,0.0013647760058694,0.0210949344293848,0.5633620069979025
6,코람코더원리츠,한화금융지주,0.0483377943261119,0.1335977271212818,7.623826062115928e-07
