,coef,p_val
SK리츠,-0.08598496024736084,0.03188517691801
롯데리츠,0.43520593187442136,1.5083534521541468e-51
삼성FN리츠,-0.06536017111820955,0.3194789518955781
한화리츠,-0.14975499656924618,0.018767342323215353
신한서부티앤디리츠,0.5252437006296741,2.1910165646879698e-41
스타리츠,0.05734214043711834,0.013736939531441044
디앤디플랫폼리츠,0.04325525440518369,0.27643625670161515
