Date,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠,스타리츠,디앤디플랫폼리츠,미래에셋글로벌치ㅡ,NH올원리츠,ESR켄달스퀘어리츠,제이알글로벌리츠,이지스레지던스리츠,이지스벨류리츠,NH프라임리츠,신한알파리츠,이리츠코크렙,케이탑리츠
2022-04-01,5529.888671875,5128.8349609375,5833.91015625,4428.03076171875,5158.91845703125,3104.387451171875,4734.65966796875,4708.693359375,4759.6650390625,6048.51416015625,4472.55126953125,4992.05517578125,5015.58349609375,4187.64404296875,6729.5498046875,5595.671875,1331.792236328125
2022-04-04,5564.23583984375,5102.3056640625,5879.20458984375,4470.93798828125,5284.09228515625,3201.302001953125,4734.65966796875,4797.3837890625,4768.54541015625,6136.6845703125,4521.0771484375,5046.712890625,5015.58349609375,4200.244140625,6694.13134765625,5649.4765625,1327.744140625
2022-04-05,5555.6494140625,5049.24951171875,5933.55810546875,4453.775390625,5480.79248046875,3251.322265625,4716.95947265625,4797.3837890625,4750.78564453125,6039.697265625,4512.98974609375,5046.712890625,5015.58349609375,4208.64453125,6844.66015625,5577.73681640625,1319.6483154296875
2022-04-06,5495.54248046875,4987.3486328125,5987.9111328125,4522.4267578125,5588.08349609375,3270.079833984375,4681.560546875,4829.6357421875,4750.78564453125,5880.9892578125,4521.0771484375,5028.49365234375,5041.21728515625,4191.84326171875,6897.78857421875,5586.70458984375,1327.744140625
2022-04-07,5529.888671875,5005.03466796875,6105.67578125,4513.8447265625,5525.4970703125,3276.33251953125,4725.81005859375,4829.6357421875,4768.54541015625,6013.2451171875,4553.4287109375,5064.931640625,5058.30615234375,4191.84326171875,6853.51513671875,5667.4111328125,1299.408203125
2022-04-08,5589.99658203125,5075.77734375,6160.029296875,4608.2412109375,5534.43798828125,3270.079833984375,4734.65966796875,4950.578125,4777.42529296875,6119.05078125,4601.955078125,5174.2470703125,5118.1171875,4217.044921875,6871.224609375,5676.37841796875,1315.6002197265625
2022-04-11,5684.451171875,5102.3056640625,6160.029296875,4651.1484375,5534.43798828125,3245.06982421875,4743.50927734375,5015.08056640625,4786.3046875,6136.6845703125,4610.04345703125,5156.02783203125,5169.3837890625,4217.044921875,6871.224609375,5739.150390625,1311.55224609375
2022-04-12,5744.55859375,5084.62060546875,6250.61767578125,4599.65966796875,5507.615234375,3238.8173828125,4761.208984375,5127.9599609375,4777.42529296875,6136.6845703125,4666.65771484375,5192.46630859375,5237.73876953125,4225.44580078125,6915.4970703125,5739.150390625,1283.2161865234375
2022-04-13,5744.55859375,5128.8349609375,6277.794921875,4633.98583984375,5516.5556640625,3226.312255859375,4787.7587890625,5055.39453125,4839.5849609375,6180.77001953125,4674.7451171875,5238.01416015625,5263.3720703125,4242.2470703125,6995.189453125,5766.052734375,1319.6483154296875
2022-04-14,5770.3193359375,5128.8349609375,6250.61767578125,4642.5673828125,5534.43798828125,3276.33251953125,4778.90869140625,4982.82958984375,4857.34521484375,6286.5751953125,4699.0087890625,5347.32958984375,5271.91650390625,4242.2470703125,7021.75390625,5792.955078125,1299.408203125
2022-04-15,5907.70751953125,5234.9482421875,6341.20703125,4702.63720703125,5597.02490234375,3320.100341796875,4832.00732421875,5184.39990234375,4901.74462890625,6471.7333984375,4868.8525390625,5483.97314453125,5314.63916015625,4317.8515625,7074.8818359375,5909.53125,1258.92822265625
2022-04-18,5796.0791015625,5173.04833984375,6295.91259765625,4685.474609375,5588.08349609375,3307.59521484375,4796.6083984375,5168.27392578125,4821.82470703125,6268.94091796875,4674.7451171875,5502.19189453125,5297.55029296875,4343.052734375,7048.31787109375,5730.18310546875,1222.4962158203125
2022-04-19,5830.42626953125,5208.419921875,6295.91259765625,4676.89306640625,5525.4970703125,3307.59521484375,4778.90869140625,5095.70849609375,4830.705078125,6330.66015625,4682.8330078125,5493.0830078125,5220.650390625,4317.8515625,7004.04443359375,5739.150390625,1222.4962158203125
2022-04-20,5847.60009765625,5217.26220703125,6422.73681640625,4702.63720703125,5552.31982421875,3307.59521484375,4787.7587890625,5095.70849609375,4848.46484375,6427.64794921875,4707.0966796875,5529.52099609375,5220.650390625,4326.25146484375,7057.17236328125,5801.9228515625,1222.4962158203125
2022-04-21,5907.70751953125,5234.9482421875,6477.08984375,4719.80029296875,5641.7294921875,3301.3427734375,4787.7587890625,5152.14892578125,4857.34521484375,6348.294921875,4699.0087890625,5529.52099609375,5314.63916015625,4351.45263671875,7083.736328125,5873.662109375,1230.5921630859375
2022-04-22,5933.4677734375,5296.84765625,6585.79638671875,4779.87060546875,5740.080078125,3313.847900390625,4787.7587890625,5216.6513671875,4875.1044921875,6374.74560546875,4690.9208984375,5538.63037109375,5314.63916015625,4359.853515625,7101.4453125,5945.4013671875,1222.4962158203125
