,코스피,코스닥,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠
count,491.0,490.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0
mean,6.05757881508136e-05,3.7442173852862944e-05,-0.00031919503665390597,-0.0002681987974123364,0.0009990935594305543,-0.00016738883229129735,0.0008647346209034902,-0.0004996468335311357,-0.0008682646143977987,-0.00022785305411068918,-4.6315086914732355e-05,2.892499354933715e-06
std,0.01055547469572378,0.015172274972448668,0.019395448342630277,0.018518473016108813,0.017069889226916355,0.021532003719002827,0.020058023366198857,0.014808263976590257,0.012078954300931921,0.010762646148265035,0.014016366417990271,0.012066888176094892
min,-0.03519440622894465,-0.05071568358188072,-0.06764704412424793,-0.07658157602663707,-0.056569314074961574,-0.07709504079398732,-0.05942270265456584,-0.06325310361996717,-0.058386557771466285,-0.049418528128760575,-0.061497402733827755,-0.056451636168866726
25%,-0.006498774756639958,-0.008316684841002953,-0.01143441448844329,-0.009882732414077222,-0.009925702067025588,-0.012687255228590044,-0.010836946806959735,-0.007688181523451021,-0.007216170822800738,-0.00591715976331364,-0.007395844422312947,-0.005670354897274965
50%,0.00026325024590123647,0.0005065593454192108,-0.000704188615299528,-0.001215115962898694,0.0,-0.001349483443631283,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.006638722576016165,0.009606694510771951,0.009558260511723704,0.0090125113049907,0.00972452790765288,0.010423468026246718,0.011097684886259507,0.00678102735431485,0.00585660668225918,0.005952380952380931,0.00678630639082034,0.005255036329615326
max,0.05659239143152339,0.07339687399785233,0.09925093558471643,0.08618331053351569,0.06437125748502992,0.12155397209639451,0.08786617286817977,0.07987220336870426,0.04938269551898111,0.03697181618236178,0.07108238182332993,0.057213884850971786
