,kospi_전체,kospi_금리상승기,kospi_금리동결기,kosdaq_전체,kosdaq_금리상승기,kosdaq_금리동결기,스폰서_전체,스폰서_금리상승기,스폰서_금리동결기
SK리츠,0.2927784522495641,0.2392501732385603,0.202846273750657,0.2686741271733672,0.24200059274656946,0.12429474720228537,0.20336274399137236,0.1486025912728775,0.18163732581894657
롯데리츠,0.3260757752282559,0.3574695270019093,0.31142889818736547,0.2998248194302126,0.36963278713383985,0.18894038672871358,0.17835017088300384,0.14895373639175605,0.2222565611706756
코람코라이프인프라리츠,0.2782229161920472,0.47743706711975004,0.11796456298100343,0.2684528052092212,0.45125996819196806,0.10114113575019153,0.16423932246896517,0.2561519254777594,-0.010378671918007999
신한서부티앤디리츠,0.2711778491224796,0.364244670522583,0.08935542827693922,0.2535834809015614,0.36581453206621806,0.07398128521635448,0.2287426178058259,0.3813301757882628,0.15306761989500747
코람코더원리츠,0.323140056847408,0.4043099164173452,0.11362610407315309,0.2818820666552086,0.4005511280600781,-0.04632626627853394,0.22319471796726797,0.1778606725394896,0.13515633162030627
