Date,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠,스타리츠,디앤디플랫폼리츠,마스턴프리미어리츠,미래에셋글로벌치ㅡ,NH올원리츠,ESR켄달스퀘어리츠,제이알글로벌리츠,이지스레지던스리츠,이지스벨류리츠,NH프라임리츠,신한알파리츠,이리츠코크렙,케이탑리츠
2022-04-04,0.0062110090114861904,-0.005172482897466302,0.007763992310581891,0.009690022920832542,0.024263482557229432,0.031218574454894732,0.0,,0.018835570804206725,0.0018657554724690328,0.014577283481640446,0.010849819166041552,0.010948841567608003,0.0,0.0030088750445267376,-0.005263124670905062,0.009615411464775958,-0.0030394933401722835
2022-04-05,-0.0015430579329447358,-0.010398561771533643,0.009245045787128259,-0.0038387017894756514,0.037224881099031215,0.015624974976230721,-0.0037383272024794634,,0.0,-0.003724357030799097,-0.015804591527801337,-0.0017889300181030965,0.0,0.0,0.001999976749863297,0.02248675743531159,-0.012698476628780653,-0.006097611990054874
2022-04-06,-0.010819241042119065,-0.012259229453018494,0.009160275567817289,0.015414196084519327,0.019576001486726335,0.005769212285626546,-0.007504709464496773,,0.0067228211339962485,0.0,-0.026277398581762812,0.001792136024033164,-0.0036101198297003867,0.005110633692876787,-0.003991969653234229,0.00776202422851302,0.001607779953174182,0.006135020967465321
2022-04-07,0.00625009495890172,0.0035460815847441207,0.01966714837723993,-0.001897552669907876,-0.011200154206478019,0.0019120895709927588,0.009451767844172565,,0.0,0.0037382797191540806,0.02248879259225922,0.007155720072412608,0.007246400031849731,0.0033899267096275665,0.0,-0.006418568111340561,0.014446180511400009,-0.02134150405801072
2022-04-08,0.010869552740420785,0.014134302851884106,0.00890204867476907,0.020912546088937445,0.0016181202605074496,-0.0019084404618886497,0.0018727156743356677,,0.025041618247688247,0.001862178515399604,0.01759535244744126,0.010657104847373144,0.02158270607070434,0.01182432090009744,0.006012070501494771,0.0025839986583069408,0.001582254215568124,0.012461070018352727
2022-04-11,0.016897074704369075,0.005226454691745985,0.0,0.009310976704227425,0.0,-0.007648134307214116,0.0018692151657959677,,0.01302937443280916,0.0018586150461250561,0.0028817850501474673,0.0017574901292376488,-0.003521138058092288,0.010016691623964569,0.0,0.0,0.011058454534592643,-0.0030769953078652046
2022-04-12,0.010574006189444374,-0.003466187257177844,0.014705914991906877,-0.011070014630123248,-0.0048465185316936,-0.0019267509622094003,0.0037313525017941274,,0.022507992251884712,-0.0018551670048168045,0.0,0.012280741519661076,0.007067160564209862,0.013223136748838016,0.001991892789088734,0.006443311514768624,0.0,-0.021604888575128878
2022-04-13,0.0,0.008695704782210267,0.004347851220340315,0.007462550307300253,0.0016234625445328277,-0.003861016375756865,0.005576170626124144,,-0.014150935311560753,0.013011122970407296,0.007183999274343433,0.0017331227442016761,0.008771910852289233,0.004893962742229974,0.003976212751244823,0.011523667509971025,0.004687513293595735,0.028391168392787547
2022-04-14,0.004484287780487817,0.0,-0.004329029245253357,0.001851870974485692,0.0032413968357147827,0.015503850745082648,-0.0018484844467243633,,-0.014353962081038119,0.0036697886388195045,0.01711828631802681,0.005190163777921253,0.020869539116135094,0.0016232834019225262,0.0,0.003797531618408456,0.004665643029870159,-0.01533741366541852
2022-04-15,0.023809461352305217,0.020689645980384475,0.014492707205677968,0.012939135212464148,0.011308719692606495,0.013358785167473464,0.011111139492837818,,0.04045298135638653,0.009140675018695088,0.02945303285732992,0.03614459458855657,0.02555369987024414,0.008103818832931875,0.017821805198155127,0.007566190783218962,0.020123783164693876,-0.031152628074378796
2022-04-18,-0.018895222937727718,-0.011824358041386152,-0.0071427960918135636,-0.003649776004615135,-0.0015974411628946195,-0.0037664906676757592,-0.007326025833593319,,-0.003110386657086406,-0.016304383015733115,-0.03133518584046757,-0.03986698369307684,0.003322269785259291,-0.0032154331973495154,0.0058366209772091615,-0.003754686715588096,-0.03034896287776634,-0.028939004027871196
2022-04-19,0.005925931042930266,0.006837667020973326,0.0,-0.0018315207270308553,-0.011200154206478019,0.0,-0.003690046291253579,,-0.014040552779096771,0.0018417034283308986,0.009845320314453287,0.0017300197756833224,-0.001655678799910243,-0.014516217189493585,-0.005802752510182585,-0.0062814189583548785,0.0015649212234931653,0.0
2022-04-20,0.002945468755050973,0.0016976905258949682,0.020143897613383643,0.005504748453688313,0.004854449150276885,0.0,0.0018519076692478098,,0.0,0.0036764334269592247,0.015320328461005506,0.005181408740076776,0.0066335206931515955,0.0,0.0019455026309631585,0.0075853216225585385,0.010937587737732013,0.0
2022-04-21,0.010278906318823111,0.0033899072836351962,0.008462596070402562,0.0036495683419024427,0.016103207142355247,-0.0018903284713287505,0.0,,0.011075974232302555,0.0018315840951590445,-0.012345653690421066,-0.001718337110251822,0.0,0.01800336348359699,0.005825174999602112,0.003764178024503906,0.012364738320017388,0.00662257276512257
2022-04-22,0.0043605314297465725,0.0118242647680189,0.01678323839735607,0.012727299625259425,0.017432613399920083,0.0037878911131981052,0.0,,0.012519521918995968,0.003656169483173377,0.0041666580136905385,-0.001721087052007464,0.0016474959201142614,0.0,0.001930591829349293,0.002499949508850463,0.012213718882125857,-0.006579002840092163
2022-04-25,0.013024552364591102,0.0016694407714494819,0.004126571217310415,0.017953402610536573,0.026479701223680374,-0.005660432543626692,0.0,,0.02782069361350592,0.0,0.002766271540094456,0.003448316780482852,0.0,-0.01286173278939795,-0.0019268718263452111,0.004987499450795463,0.010558071487433374,-0.02317875504459055
