Date,코스피,코스닥,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠
2022-04-04,0.006587880374528732,0.007176499300889594,0.024844713714935684,0.014358931322628665,0.012962900836704705,0.004854266826436859,0.0020661217130275578,0.006211186157045079,-0.005172482897466302,0.007763992310581891,0.009689801311270951,0.024263482557229432
2022-04-05,0.00047139086774694583,0.0054363502713858924,0.0,-0.002022226430535623,0.009140806150645941,0.028985544583534084,-0.028866063182475976,-0.0015430577975359405,-0.01039865746969093,0.009245045787128259,-0.003838702208709077,0.037224881099031215
2022-04-06,-0.008759757285706882,-0.009806047547533336,0.004040425160574568,-0.010131706758825909,-0.005434756688886266,-0.023474207789823343,0.007431068307197641,-0.010819240091225368,-0.012259133934785504,0.009160275567817289,0.015414307407548344,0.019575912397183926
2022-04-07,-0.014321569216945607,-0.016095334256349347,-0.01006031506770455,-0.02149435002746225,-0.0072860208369873725,0.0,-0.015806109981816863,0.006249916702725233,0.0035459836807798517,0.01966714837723993,-0.001897552669907876,-0.011200067806118152
2022-04-08,0.0016802745601596225,0.007306393849376924,0.00812998925063635,-0.01150626070193106,0.005504561016723919,0.004807698470860489,-0.0074946199193165475,0.01086955370018683,0.014134401788823858,0.00890204867476907,0.020912546088937445,0.0016182086292619857
2022-04-11,-0.002699534219821609,-0.013800737804983143,0.002016172844207187,0.011640195829769828,0.012773743726837816,-0.014353978981533122,0.014023724013581873,0.016897076180313775,0.005226454691745985,0.0,0.009310976704227425,0.0
2022-04-12,-0.009780582576023877,-0.008689248144589712,-0.01810871302830397,-0.020920490179802242,-0.0018017128572994645,0.004854266826436859,-0.0021276657428130896,0.010574178893130837,-0.003466187257177844,0.014705914991906877,-0.011070014630123248,-0.004846606330091041
2022-04-13,0.018648089924342637,0.0147621961942761,0.01844268634275603,0.009615388110409961,0.03429602422857281,0.0,0.006396510226717389,0.0,0.008695704782210267,0.004347851220340315,0.007462550307300253,0.0016235512001983032
2022-04-14,8.097607718626776e-05,0.000754884783809251,0.004024099498638911,-0.005291047198200283,0.01047107576062567,-0.004830816752928513,-0.0021186503878515284,0.004484202400420134,0.0,-0.004329029245253357,0.001851870974485692,0.003241396548812503
2022-04-15,-0.007601069912013703,-0.0038469491564216973,0.004008103135037189,0.0010639106452594582,0.013817014911340353,0.009708641518278993,-0.004246200762663244,0.023809545971762658,0.020689645980384475,0.014492707205677968,0.012939135212464148,0.011308542242911113
2022-04-18,-0.0010571343346619244,-0.006717604123854248,-0.003992102376984552,0.021253971866611376,-0.006814353432679665,0.0,-0.004264404713448466,-0.018895304027569226,-0.011824358041386152,-0.0071427960918135636,-0.0036496721732588444,-0.0015974413022544764
2022-04-19,0.009535064853126274,0.014517078916372217,0.00601208864726166,-0.0062435279477598415,0.013722138351061064,0.004807698470860489,0.019272004838790213,0.0059260152862956605,0.00683776141043535,0.0,-0.0018315205361649767,-0.011200067806118152
2022-04-20,-7.354147456317683e-05,-0.0028232265122001277,0.023904309484900965,0.01780097447131679,0.0,-0.009569390199093641,0.0031511263960080083,0.002945384761297687,0.0016976903667391685,0.020143897613383643,0.005504643476065718,0.004854449150276885
2022-04-21,0.0035016937335361487,0.0008073805409594126,0.03112837597402618,0.011316945438915482,-0.005076117987183659,0.009661848194511435,0.0062828364573446205,0.010278989819959117,0.003389813376828865,0.0084625200465418,0.003649464510546263,0.016103119200510108
2022-04-22,-0.008613706546223732,-0.007421869281113547,0.0,-0.0050865103040207416,-0.0017006721415090409,-0.014353978981533122,0.01456810564338995,0.004360448417780605,0.011824358041386152,0.01678331504848174,0.01272730094194685,0.01743270145683029
2022-04-25,-0.01759156390599015,-0.02485966504811088,-0.02264138035688079,-0.04805725989155063,-0.005110784078228403,-0.004854374691842023,-0.026666651759726934,0.013024716950047255,0.001669440617554807,0.004126571217310415,0.01795340444454241,0.026479616158447294
2022-04-26,0.004207613580942571,0.012579954159875006,0.01158294401964155,0.011815236912273486,0.003424794121921204,0.09268282055264754,-0.004214975424608469,0.012857092375598178,-0.001666658230608964,0.0,0.0035271722621439405,0.007587240210259916
2022-04-27,-0.01096199443006829,-0.01644056028608476,-0.0019083125546358604,-0.027600780627409338,-0.006826133735782891,-0.022321457356463736,-0.021164083213672358,0.014104264210814454,-0.001669440617554807,-0.005479508089899943,0.008787537608482943,0.0
2022-04-28,0.010772749012682326,-0.004418779715035348,0.02868067809360264,0.02183404816003698,0.01374579351807892,-0.00913243213709447,0.029189325719996218,-0.03198872647902884,-0.01839464774855759,-0.024793383521078294,0.0,-0.028614490655733293
2022-04-29,0.010331832057344892,0.014043654825390828,-0.0037174912506282576,0.009615388110409961,-0.011864425879026586,-0.009216499732998318,-0.012605078099728773,0.03160909867519335,0.011925076082081265,0.016949174478493312,0.0,0.018604704327420674
2022-05-02,-0.0028200209712448965,-0.0032384555686999494,0.00373136255829154,0.0,-0.0034305154536600213,0.0046510652089615245,-0.008510662971252358,-0.006963656046537481,0.0033668931930082024,-0.0027778436982677235,-0.0017420789383607582,-0.015220673583174804
2022-05-03,-0.0026009750363265027,0.00637599515790388,-0.029739868738132946,-0.0021163828771898485,0.003442324400713126,-0.02314807623324333,-0.007510800308619281,-0.011220205078226297,-0.020134127457216877,-0.02367684310560292,-0.01570686607139582,-0.03091184628856114
