날짜,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠
2022-07-04,-0.009456264775413725,0.029850746268656803,-0.0431034482758621,-0.016689847009735748,-0.03643216080402012,-0.04188019084643935,-0.011257035647279534,-0.01379310344827589,-0.015353121801433,-0.030797101449275388
2022-07-05,0.03341288782816232,-0.01449275362318836,-0.012612612612612595,0.04919063334904927,0.015645371577575062,0.016414607156030936,0.028462998102466885,0.020979020979021046,0.029106029106028997,0.0018691588785046953
2022-07-06,-0.050808314087759765,-0.026470588235294135,-0.05656934306569339,-0.03355302576393049,-0.03594351732991019,0.0018145527127562122,-0.0036900369003689537,-0.008561643835616417,0.003030303030302939,0.011194029850746245
2022-07-07,0.012165450121654597,-0.00805639476334341,0.015473887814313247,0.025108493490390682,-0.01997336884154466,0.017750407534866897,-0.0092592592592593,0.0017271157167531026,0.007049345417925457,0.011070110701107083
2022-07-08,0.0024038461538462563,0.0050761421319796,0.007619047619047636,-0.009525249470819452,0.010869565217391353,0.0035593521979000453,-0.01121495327102806,0.0,0.0040000000000000036,-0.0018248175182481452
2022-07-11,-0.0023980815347721673,-0.04747474747474745,-0.011342155009451793,-0.0190810563272783,-0.017473118279569877,0.0,-0.007561436672967825,-0.005172413793103403,-0.013944223107569709,-0.021937842778793404
2022-07-12,-0.007211538461538436,-0.044538706256627814,-0.017208413001912004,-0.03221288515406162,-0.013679890560875485,-0.024472424188685893,-0.007619047619047636,-0.029462738301559765,-0.010101010101010055,-0.024299065420560706
2022-07-13,0.009685230024213176,0.004439511653718142,0.005836575875486361,0.03039073806078152,-0.01109570041608876,0.030539901836029726,-0.0057581573896353655,0.0,0.012244897959183598,-0.007662835249042099
2022-07-14,-0.00959232613908878,-0.0044198895027623974,-0.003868471953578312,-0.0015605493133582504,-0.02384291725105192,-0.02434291762215557,-0.013513513513513487,-0.017857142857142905,-0.01008064516129037,-0.007722007722007707
2022-07-15,0.01937046004842613,-0.01442841287458374,-0.007766990291262155,-0.025007814942169415,-0.027298850574712596,-0.012655939251491555,-0.007827788649706457,-0.00545454545454549,0.022403258655804503,0.0019455252918287869
2022-07-18,0.009501187648456089,0.012387387387387427,0.02935420743639927,0.050176338570054435,0.05169867060561306,0.0036623329060612164,-0.0019723865877712132,0.005484460694698434,-0.005976095617529875,0.003883495145631022
2022-07-19,0.016470588235294015,-0.004449388209121219,0.0,0.024729049000152603,0.001404494382022392,-0.0036489691662104917,0.0,-0.00545454545454549,0.0,0.005802707930367523
2022-07-20,-0.0023148148148147696,0.04134078212290504,0.005703422053231932,-0.016088187099657425,0.026647966339411022,-0.04522981138985538,-0.0019762845849802257,-0.003656307129798919,-0.033066132264529036,-0.01538461538461533
2022-07-21,0.002320185614849146,0.015021459227467782,0.001890359168241984,0.025738077214231714,0.021857923497267784,-0.015151515151515138,-0.001980198019801982,-0.0055045871559632475,0.005181347150259086,0.001953125
2022-07-22,-0.0092592592592593,-0.009513742071881603,0.0037735849056603765,-0.031734317343173446,-0.03342245989304815,0.019279454722492595,0.0,-0.0073800738007380184,-0.009278350515463885,0.00974658869395717
2022-07-25,0.016355140186915973,0.005336179295624355,0.001879699248120259,0.020426829268292757,0.0027662517289073207,-0.009361864730607516,-0.007936507936507908,-0.0037174721189591198,-0.007284079084287187,0.0
2022-07-26,0.0,0.007430997876857859,0.024390243902439046,0.05228562892142219,-0.0096551724137931,-0.009643201542912205,0.01200000000000001,0.011194029850746245,-0.017819706498951815,0.0
2022-07-27,0.009195402298850519,-0.0031612223393044925,0.01098901098901095,0.011499148211243648,0.0055710306406684396,0.0019474196689386325,-0.007905138339920903,0.0036900369003689537,-0.0010672358591248265,0.0
2022-07-28,-0.004555808656036442,-0.015856236786469302,0.0036231884057971175,0.006175438596491167,0.01939058171745156,0.011661807580174877,-0.003984063745019917,0.011029411764705843,-0.005341880341880323,0.0
2022-07-29,0.006864988558352492,0.02470461868958118,0.02707581227436817,-0.002371320965267154,0.010869565217391353,0.011335254562920172,0.016000000000000014,0.027272727272727337,0.01611170784103111,0.013513513513513598
2022-08-01,-0.009090909090909038,-0.01572327044025157,0.010544815465729274,0.012583892617449743,-0.008064516129032251,0.016907294832826825,0.0059055118110236116,0.005309734513274433,0.026427061310782207,0.02285714285714291
2022-08-02,-0.016055045871559592,-0.021299254526091604,-0.00521739130434784,0.01353217343275337,0.0,-0.012889968242107197,-0.00195694716242667,0.0,-0.006179196704428458,-0.003724394785847296
2022-08-03,0.006993006993007089,0.02285092491838947,0.0,-0.0012261580381471848,-0.0013550135501354532,-0.009462528387585212,-0.0039215686274509665,-0.01232394366197187,-0.00829015544041456,0.0
2022-08-04,-0.0023148148148147696,0.015957446808510634,-0.010489510489510523,0.009684899740826536,0.009497964721845387,0.030187237294612146,-0.007874015748031482,-0.0017825311942959443,0.010449320794148287,0.0
2022-08-05,0.011600928074245953,0.015706806282722585,-0.0017667844522968323,0.017022426371251065,0.02284946236559149,0.007418397626112849,0.007936507936507908,0.0017857142857142794,-0.008273009307135482,0.0037383177570093906
2022-08-08,0.006880733944954143,0.046391752577319645,0.005309734513274433,-0.0023910733262486605,0.026281208935611033,-0.005522827687776122,-0.007874015748031482,-0.0035650623885917776,-0.002085505735140769,0.0
2022-08-09,0.006833712984054774,0.0,0.007042253521126751,0.00239680426098543,0.010243277848911658,0.003702332469455838,0.003968253968253954,-0.0017889087656529634,-0.0031347962382445305,0.0018621973929235924
