,kospi_전체,kospi_금리상승기,kospi_금리동결기,kosdaq_전체,kosdaq_금리상승기,kosdaq_금리동결기,스폰서_전체,스폰서_금리상승기,스폰서_금리동결기
SK리츠,6.475557031264542e-16,0.0011069057544885485,0.006315031416812949,1.4907898421167255e-13,0.0009651654275540439,0.09642772740199076,2.9065205567841605e-08,0.044681040821087196,0.01467599556370283
롯데리츠,1.4359705021058297e-19,6.773208315160553e-07,2.0861883776857234e-05,1.1929027548420303e-16,2.610572633478156e-07,0.011080093230743743,1.217535735154788e-06,0.04417331249080124,0.0027112621084602172
코람코라이프인프라리츠,1.8418405528026106e-14,8.279264822970101e-12,0.11476183109171303,1.563302578274203e-13,1.4449799536251548e-10,0.17670693062053128,8.071304907124024e-06,0.0004652701803227316,0.8900206023201275
신한서부티앤디리츠,8.684557021260123e-14,4.0019011004412434e-07,0.23292237141774966,3.44016901481998e-12,3.5363859243147425e-07,0.3236419176598342,3.922637815884767e-10,1.0050180267315754e-07,0.04022650953326197
코람코더원리츠,3.1493428610227065e-19,1.3776098166930094e-08,0.12882375393920895,8.085575651616766e-15,1.9267489515940292e-08,0.5368827536443684,1.0519600033845761e-09,0.016004810852313783,0.07045267808991064
