,전체_코스피,전체_코스닥,전체_대주주,금리상승기_코스피,금리상승기_코스닥,금리상승기_대주주,금리동결기_코스피,금리동결기_코스닥,금리동결기_대주주
SK리츠,-0.013938711686581071,-0.008902645281525167,-0.005277045435519649,-0.013938711686581071,-0.008902645281525167,-0.005277045435519649,-0.013938711686581071,-0.008902645281525167,-0.005277045435519649
롯데리츠,-0.019540269895396117,-0.012509092626227715,-0.006080056523756519,-0.019540269895396117,-0.012509092626227715,-0.006080056523756519,-0.019540269895396117,-0.012509092626227715,-0.006080056523756519
코람코라이프인프라리츠,-0.0010264689139219737,-0.0006912821809198169,-0.0003866422293625183,-0.0010264689139219737,-0.0006912821809198169,-0.0003866422293625183,-0.0010264689139219737,-0.0006912821809198169,-0.0003866422293625183
신한서부티앤디리츠,0.0031671244549549434,0.0020608013439939745,0.0013135980851296854,0.0031671244549549434,0.0020608013439939745,0.0013135980851296854,0.0031671244549549434,0.0020608013439939745,0.0013135980851296854
코람코더원리츠,0.010191645823752565,0.006191704165197838,0.0037061081268122712,0.010191645823752565,0.006191704165197838,0.0037061081268122712,0.010191645823752565,0.006191704165197838,0.0037061081268122712
