,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230930,20230331,20220930,20220331,20210930,20210331,20200930,20200331,20190930,20190331,20180930
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
15,entity01276594_udf_BS_20231212131835694OfCurrentLiabilities,단기차입금,short-term borrowings,재무상태표 [개요],부채 [개요],유동부채,단기차입금,0.0,74000000000.0,30500000000.0,120500000000.0,127600000000.0,154900000000.0,119200000000.0,24666000000.0,0.0,,
16,entity01276594_udf_BS_2023121213185913OfCurrentLiabilities,유동성장기차입금,Liquid long-term borrowings,재무상태표 [개요],부채 [개요],유동부채,유동성장기차입금,102500000000.0,413889599256.0,354753836178.0,43500000000.0,0.0,0.0,327900.0,0.0,0.0,0.0,
17,dart_ShortTermGuaranteeDepositRent,단기임대보증금,Short-term guarantee deposit rent,재무상태표 [개요],부채 [개요],유동부채,단기임대보증금,0.0,550000000.0,1213800000.0,5677196650.0,6173705708.0,1673417750.0,7686092986.0,432570000.0,120000000.0,999531300.0,500000000.0
18,entity01276594_udf_BS_201967171137649_CurrentLiabilities,유동성장기임대보증금,Current portion of long-term guarantee deposit rent,재무상태표 [개요],부채 [개요],유동부채,유동성장기임대보증금,3428203536.0,8321090876.0,11284636765.0,5186015270.0,4587585224.0,7388211979.0,1724970064.0,644308150.0,1254493350.0,31863430.0,0.0
19,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [개요],부채 [개요],유동부채,기타유동금융부채,32343038.0,31882775.0,10988748.0,27276377.0,32345558.0,31885261.0,31433980.0,0.0,0.0,,
20,ifrs-full_OtherCurrentLiabilities,기타 유동부채,Other current liabilities,재무상태표 [개요],부채 [개요],유동부채,기타 유동부채,3231517248.0,7000982468.0,5257116013.0,3825179328.0,6027873570.0,3726104077.0,2041387179.0,2305215418.0,1789512748.0,1304655505.0,365112834.0
21,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [개요],부채 [개요],비유동부채,,1102479298328.0,933056967900.0,1031515918852.0,1342713395260.0,1383119293912.0,974076848303.0,866813532827.0,498484683764.0,451758817491.0,450978884901.0,348265913769.0
22,entity01276594_udf_BS_20201214131845448_NoncurrentLiabilities,당기손익 공정가치측정 금융부채, profits and losses for the current term financial liabilities,재무상태표 [개요],부채 [개요],비유동부채,당기손익 공정가치측정 금융부채,215704.0,369825.0,75581512.0,18124311.0,0.0,0.0,327900.0,0.0,0.0,,
23,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [개요],부채 [개요],비유동부채,장기차입금,1053121416225.0,884955489519.0,986990563339.0,1297656859001.0,1340574440109.0,941668415800.0,838329466578.0,476909020403.0,432731646009.0,432067485183.0,335535372686.0
24,entity01276594_udf_BS_20192139470502_NoncurrentLiabilities,임대보증금,guarantee deposit rent,재무상태표 [개요],부채 [개요],비유동부채,임대보증금,45826083521.0,44284171830.0,40572922803.0,41182902931.0,38874247441.0,29190955252.0,25993365951.0,18973599990.0,16317991170.0,16183762049.0,10350229752.0
